Entity Type & Filing Type Combination,Entity Type,New Rep,Removing Rep,Residency,Merger Rules Apply,Conversion Rules Apply,E-signature Allowed,Hard Copy Required,Conformed Signature Allowed,Type-in Signature Allowed,POA Allowed,Tax Clearance Required,Routine Turnaround,Expedite-A Turnaround,Expedite-B Turnaround,Expedite-C Turnaround,Expedite-A Fee,Expedite-B Fee,Expedite-C Fee,Prohibited Words,Name Clearance Words,Annual Reports Must Be Current,Signer Must Be On Record,Signer Title Restricted,CT Agent Name,NRAI Agent Name,via Vendor,Agent Consent Needed,Can File A.R. online,BL Required for Qual,DBA available,DBA local level,DBA expiration date,FEIN Required,Principal Office Address Recorded,Name Consent Allowed for Conflict,General business purpose allowed,NAICS code required,Penalty applies for late qualification,Business purpose needed,Annual Report Applies,Capital Reported
LLC Domestic ChangeOfAgent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLC Domestic Registration/Qualification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLC Domestic Formation/Incorporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLC Domestic Amendment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLC Domestic AnnualReport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLC Domestic Dissolution/Withdrawal/Cancellation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLC Domestic Merger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLC Domestic Conversion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLC Domestic MiscInfoUpdate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLC Domestic Reinstatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLC Domestic AssumedName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLC Domestic NameReservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLC Domestic GoodStanding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLC Domestic MiscDocOrder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLC Foreign ChangeOfAgent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLC Foreign Registration/Qualification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLC Foreign Formation/Incorporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLC Foreign Amendment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLC Foreign AnnualReport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLC Foreign Dissolution/Withdrawal/Cancellation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLC Foreign Merger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLC Foreign Conversion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLC Foreign MiscInfoUpdate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLC Foreign Reinstatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLC Foreign AssumedName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLC Foreign NameReservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLC Foreign GoodStanding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLC Foreign MiscDocOrder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corp Domestic ChangeOfAgent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corp Domestic Registration/Qualification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corp Domestic Formation/Incorporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
